"Enable auto replace glossary entries in cms pages?","Automatische Glossary-Verlinkung auf CMS-Seiten?"
"Enable auto replace glossary entries in product descriptions?","Automatische Glossary-Verlinkung in Produktbeschreibungen?"
"Enable auto replace glossary entries in product short descriptions?","Automatische Glossary-Verlinkung in Kurzbeschreibungen?"
"Open replaced entries in popup?","Ersetzte Einträge in Popup öffnen?"
"Show alphabetical navigation for empty letters?","Alphabetische Navigation auch zeigen wenn leer?"
"Open in popup","In Popup öffnen"
"Glossary","Glossar"
"View glossary entry","Glossareintrag ansehen"
"All entries starting with %s","Alle Einträge mit beginnend mit %s"
"Yes","Ja"
"No","Nein"
"Auto replace","Automatische Ersetzung"
"Title","Titel"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"File","Datei"
"Status","Status"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Content","Inhalt"
"Glossary Entry","Glossareintrag"
"Edit Item '%s'","Eintag '%s' bearbeiten"
"Item Manager","Einträge verwalten"
"Add Item","Eintrag hinzufügen"
"Export to:","Exportieren als:"
"of %s pages","von %s Seiten"
"Page","Seite"
"View","Anzeigen"
"per page","pro Seite"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Item was successfully saved","Eintrag gespeichert."
