"Aceite  Ajonjoli Puro LEE KUM KEE 207 ml.","Aceite  Ajonjoli Puro","Pure Sesame Oil","Pure Sesame Oil, Aceite De Sesamo Puro","LEE KUM KEE","207","","CHINA","","RSiA17M44896","42599","","NO","Frasco","19.5x5x5","382","24","16","","12","ACEITE AJONJOLI PURO LKK 12x207ml","Aceite De Ajonjoli ","Aceite De Ajonjoli Tostado ","Aromatizar Ysaborizar.Salteados Al Wok. Utilizase Al Final De La Preparacion","","Caja","12","","4,86","22x22.5x18","","078895710922","01-71092","CHINA","LEE KUM KEE","CHINA","SI","","14","LKK","simple","Default","15517,24","Enabled","Catalog, Search","","/productos/vinagres_y_aceites/aceite-de-ajonjoli-puro-lkk.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 12; sub-empaque interno: N.A; peso neto (Kg): 4,584; peso bruto (Kg): 4,86; dimensiones del empaque (cm) (AxAxP): 22x22.5x18","100","1","1" 
"Aceite De Ajonjoli KADOYA 1.575 lt.  ","Aceite De Ajonjoli","Sesame Oil","Sesame Oil","KADOYA","1575","","JAPON","","USO INSTITUCIONAL","","","NO","Lata","17,5x12x9,5","1756","24","16","","10","ACEITE DE AJONJOLI KADOYA JFC 10x56Oz","Aceite De Ajonjoli ","Aceite De Ajonjoli Tostado ","Aromatizar Ysaborizar.Salteados Al Wok. Utilizase Al Final De La Preparacion","","Caja","10","","20","20X27X55","","01282200904","08-00904","JAPÓN","KADOYA SESAME MILLS INC","USA","SI","","14","JFC","simple","Default","54956,89","Enabled","Catalog, Search","cada 14g contiene:; proteinas 0g; calorias 130; grasa 12g; grasa saturada 2g; carbohidratos 0g; sodio 0mg ","/productos/vinagres_y_aceites/aceite-de-ajonjoli-kadoya-1575lt.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 10; sub-empaque interno: N.A; peso neto (Kg): 17,56; peso bruto (Kg): 20; dimensiones del empaque (cm) (AxAxP): 20X27X55","100","1","1" 
"Aceite De Ajonjoli Picante LEE KUM KEE 115 ml.","Aceite De Ajonjoli Picante","Hot Blended Sesame Oil","Hot Blended Sesame Oil, Aceite De Sesamo Picante","LEE KUM KEE","115","","CHINA","","RSiA17M44896","42599","","NO","Frasco","14.5x4.5x4.5","228","24","16","","12","ACEITE AJONJOLI PICANTE LKK 12x115ml. ","Aceite De Ajonjoli , Aceite De Soya, Aji En Polvo","Aceite De Ajonjoli Tostado Con Aji Chino","Aromatizar Ysaborizar.Salteados Al Wok. Utilizase Al Final De La Preparacion","","Caja","12","","2,87","16x20x15","","078895138153","01-11530","CHINA","LEE KUM KEE","CHINA","SI","","14","LKK","simple","Default","11206,89","Enabled","Catalog, Search","cada 15ml contiene:; proteinas 0g; calorias 130; grasa 14g; colesterol 0mg; carbohidratos 0g; sodio 0mg ","/productos/vinagres_y_aceites/aceite-de-ajonjoli-picante-lkk.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 12; sub-empaque interno: N.A; peso neto (Kg): 2,736; peso bruto (Kg): 2,87; dimensiones del empaque (cm) (AxAxP): 16x20x15","100","1","1" 
"Aceite De Ajonjoli Y Soya LEE KUM KEE 1.75 lt.","Aceite De Ajonjoli Y Soya","Sesame Oil Blended With Soy Bean Oil","Sesame Oil Blended With Soy Bean Oil, Aceite De Sesamo Y Soya","LEE KUM KEE","1750","","CHINA ","207ml","RSiA17M44896","42599","","NO","Frasco Pet","29x10.5x10.5","1728","18","16","","6","ACEITE AJONJOLI Y SOYA LKK 6x1750ml","Aceite De Ajonjoli, Aceite De Soya","Aceite De Ajonjoli Tostado Mezclado Con Aceite De Soya","Aromatizar Ysaborizar.Salteados Al Wok. Utilizase Al Final De La Preparacion","","Caja","6","","9,56","31x35x23.5","","078895709667","1300500095","CHINA ","LEE KUM KEE","CHINA ","SI","","14","LKK","simple","Default","48275,86","Enabled","Catalog, Search","cada 15ml contiene:; proteinas 0g; calorias 130; grasa 14g; grasa saturada 2g; carbohidratos 0g; sodio 0g ","/productos/vinagres_y_aceites/aceite-de-ajonjoli-y-soya-1.75lt-lkk.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 6; sub-empaque interno: N.A; peso neto (Kg): 10,368; peso bruto (Kg): 9,56; dimensiones del empaque (cm) (AxAxP): 31x35x23.5","100","1","1" 
"Aceite De Ajonjoli Y Soya LEE KUM KEE 207 ml.","Aceite De Ajonjoli Y Soya","Sesame Oil Blended With Soy Bean Oil","Sesame Oil Blended With Soy Bean Oil, Aceite De Sesamo Y Soya","LEE KUM KEE","207","","CHINA","1.75lt","RSiA17M44896","42599","","NO","Frasco","19.5x5x5","382","24","16","","12","ACEITE AJONJOLI Y SOYA LKK 12x207ml","Aceite De Ajonjoli, Aceite De Soya","Aceite De Ajonjoli Tostado Mezclado Con Aceite De Soya","Aromatizar Ysaborizar.Salteados Al Wok. Utilizase Al Final De La Preparacion","","Caja","12","","5,05","20x22x17","","078895710021","1300500072","CHINA","LEE KUM KEE","CHINA","","SI","14","LKK","simple","Default","10344,82","Enabled","Catalog, Search","cada 15ml contiene:; proteinas 0g; calorias 130; grasa 14g; grasa saturada 2g; carbohidratos 0g; sodio 0g ","/productos/vinagres_y_aceites/aceite-de-ajonjoli- y- soya -207ml-lkk.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 12; sub-empaque interno: N.A; peso neto (Kg): 4,584; peso bruto (Kg): 5,05; dimensiones del empaque (cm) (AxAxP): 20x22x17","100","1","1" 
"Ajinomoto Glutamato MSG x 1kg","Glutamato","Monosodium Glutamate","Monosodium Glutamate, Msg","AJI NO MOTO","","1000","BRASIL","","USO INSTITUCIONAL","","","NO","Bolsa","19X15X5","1008","24","16","","","AJI-NO-MOTO GLUTAMATO MSG x 1K","Resaltador De Sabor Glutamato Monosodico ","Glutamato Monosodico","Resaltar El Sabor Natural De La Comida, Especialmente Las Proteinas","","","","","","","","","09-00999","BRASIL","AJINOMOTO DO BRASIL","COLOMBIA","SI","","12","","simple","Default","12931,03","Enabled","Catalog, Search","","","empaque de venta al mayoreo: tipo de empaque: ; unidades: ; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
"Aceite Mani FLYING DEER 1 lt.","Aceite Mani","Peanut Oil","Peanut Oil, Aceite De Cacahuete","FLYING DEER","1000","","TAILANDIA","","USO INSTITUCIONAL","","","NO","Frasco Pet","27x7,5x7,5","890","18","16","","12","ACEITE MANI THAI 12x1 lt","Aceite De Mani","Aceite De Mani","Freir Y Stir Fry En El Wok Con Altas Temperaturas","","Caja","12","","12,5","30X25X43","","","16-001","TAILANDIA","FLYING DEER BRAND","TAILANDIA","SI","","14","THAI","simple","Default","24568,96","Enabled","Catalog, Search","","/productos/vinagres_y_aceites/aceite-de-mani.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 12; sub-empaque interno: N.A; peso neto (Kg): 10,68; peso bruto (Kg): 12,5; dimensiones del empaque (cm) (AxAxP): 30X25X43","100","1","1" 
"Ajonjoli Negro CK 1 kg.","Ajonjoli Negro","Black Sesame","Black Sesame, Sesame Negro","CK","","1000","TAILANDIA","","USO INSTITUCIONAL","","","NO","Bolsa","24x15x5","1010","24","16","","10","AJONJOLI NEGRO THAI 10x1Kl","Ajonjoli Negro","Semilla Seca De Ajonjoli Negro","Para Preparar Urumaki Sushi, Esparcir Sobre Arroz","","Caja","10","","10,58","19x41x27,8","","","05-021","TAILANDIA","CK FOOD TRADING CO","TAILANDIA","SI","","12","THAI","simple","Default","34482,75","Enabled","Catalog, Search","","/productos/condimentos/ajonjoli-negro-ck-1kl.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 10; sub-empaque interno: N.A; peso neto (Kg): 10,1; peso bruto (Kg): 10,58; dimensiones del empaque (cm) (AxAxP): 19x41x27,8","100","1","1" 
"Anis Estrellas CK 114 g.","Anis Estrellas","Star Anise","Star Anise","C K","","114","TAILANDIA","","USO INSTITUCIONAL","","","NO","Bolsa","17x15x2","120","24","16","","100","STAR ANISE THAI 100x113Gr","Anis Estrella","Fruta Entera Seca De Anis Estrella ","Aromatizar Estofados De Carne, Sopas, Arroz Biryani Y Mezclas De Especias Como Garam Masala","","Caja","100","","13","35x47x37","","","05-007","TAILANDIA","CK FOOD TRADING CO","TAILANDIA","SI","","12","THAI","simple","Default","2155,17","Enabled","Catalog, Search","","/productos/condimentos/anis-estrellas-ck-114g.jpg","empaque de venta al mayoreo: tipo de empaque: Caja; unidades: 100; sub-empaque interno: N.A; peso neto (Kg): 12; peso bruto (Kg): 13; dimensiones del empaque (cm) (AxAxP): 35x47x37","100","1","1" 
"Arroz Para Sushi BOTAN 22.7 kg.","Arroz Para Sushi","Calrose Sushi Rice","Calrose Sushi Rice, Japonica Rice","BOTAN","","22727","USA","","RSiA10I28105","42039","","NO","Bolsa","60x37x11,5","23050","24","0","","1","ARROZ SUSHI BOTAN JFC x 50lbs","100% Granos De Arroz Mediano","Arroz Mediano Grano Tipo Calrose","Preparacion De Sushi","","Bolsa","1","","","","","011152066301","08-03503","USA","JFC INTERNATIONAL INC","USA","SI","","15","JFC","simple","Default","100000","Enabled","Catalog, Search","cada 42g contiene:; proteinas 3g; calorias 150; grasa 0; carbohidratos 33g; sodio 0mg","/productos/arroces_y_harinas/arroz-para-sushi-botan-50lb.jpg","empaque de venta al mayoreo: tipo de empaque: Bolsa; unidades: 1; sub-empaque interno: N.A; peso neto (Kg): ; peso bruto (Kg): ; dimensiones del empaque (cm) (AxAxP): ","100","1","1" 
